Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,City,Time_taken (min),Distance
13.049645,80.242268,13.159645,80.352268,Stormy,Low,1,Buffet,motorcycle,1.0,Urban,16,17.04
15.544419,73.755736,15.604419,73.815736,Windy,Low,1,Snack,motorcycle,0.0,,14,9.25
12.284747,76.625861,12.364747,76.705861,Windy,Low,1,Snack,motorcycle,1.0,Metropolitian,23,12.41
10.994136,76.963303,11.024136,76.993303,Stormy,Medium,2,Drinks,scooter,1.0,Metropolitian,31,4.66
21.170096,72.789122,21.260096,72.879122,Sunny,Jam,2,Snack,electric_scooter,1.0,Metropolitian,29,13.66
0.0,0.0,0.02,0.02,Sunny,Low,0,Meal,motorcycle,0.0,Urban,10,3.14
12.323194,76.630583,12.393194,76.700583,Sunny,Jam,0,Meal,motorcycle,1.0,,21,10.86
19.876994,75.372353,19.896994,75.392353,Windy,Low,0,Snack,motorcycle,1.0,Metropolitian,28,3.05
17.429585,78.392621,17.459585,78.422621,Sunny,Jam,2,Snack,scooter,1.0,Metropolitian,16,4.6
22.722634,75.886959,22.772634,75.936959,Stormy,Jam,2,Drinks,electric_scooter,0.0,Metropolitian,14,7.55
26.88842,75.800689,26.90842,75.820689,Sunny,High,0,Drinks,motorcycle,0.0,Metropolitian,22,2.98
26.902328,75.794257,26.922328,75.814257,Fog,High,0,Buffet,motorcycle,1.0,Metropolitian,29,2.98
0.0,0.0,0.08,0.08,Fog,Low,1,Drinks,scooter,0.0,Urban,35,12.55
18.994049,72.825203,19.124049,72.955203,Cloudy,Low,1,Drinks,motorcycle,0.0,Metropolitian,37,19.86
26.914142,75.805704,26.984142,75.875704,Windy,Low,1,Meal,scooter,1.0,Metropolitian,25,10.42
18.530963,73.828972,18.610963,73.908972,Windy,Low,2,Drinks,electric_scooter,0.0,Metropolitian,25,12.24
22.310237,73.158921,22.320237,73.168921,Fog,Low,0,Meal,motorcycle,0.0,Metropolitian,23,1.51
26.88842,75.800689,27.01842,75.930689,Fog,Medium,0,Buffet,motorcycle,1.0,Metropolitian,39,19.34
12.979166,77.640709,13.069166,77.730709,Fog,Low,2,Drinks,scooter,1.0,Metropolitian,35,13.94
13.086438,80.220672,13.146439,80.280672,Stormy,Low,2,Snack,electric_scooter,0.0,Urban,24,9.29
19.874103,75.368419,19.904103,75.398419,Windy,Medium,2,Buffet,scooter,1.0,Metropolitian,29,4.57
22.751234,75.88949,22.861234,75.99949,Cloudy,Low,1,Buffet,motorcycle,0.0,Urban,39,16.61
21.17106,72.789292,21.19106,72.809292,Stormy,High,2,Snack,scooter,1.0,Metropolitian,23,3.04
0.0,0.0,0.09,0.09,Sunny,Medium,0,Snack,motorcycle,,Metropolitian,39,14.12
18.536562,73.896485,18.666562,74.026485,Cloudy,Jam,1,Snack,motorcycle,2.0,Metropolitian,36,19.88
18.563934,73.915367,18.653934,74.005367,Fog,Jam,0,Snack,motorcycle,2.0,Metropolitian,46,13.76
12.3085,76.665808,12.4185,76.775808,Sandstorms,Low,0,Drinks,motorcycle,1.0,Metropolitian,26,17.06
18.55144,73.804855,18.59144,73.844855,Sunny,High,0,Snack,motorcycle,0.0,Metropolitian,27,6.12
26.905287,75.794592,26.935287,75.824592,Windy,Jam,1,Drinks,scooter,0.0,Metropolitian,25,4.46
12.337928,76.617889,12.427928,76.707889,Sunny,Low,1,Buffet,scooter,0.0,Urban,23,13.96
11.003681,76.975525,11.043681,77.015525,Cloudy,High,0,Buffet,motorcycle,1.0,Metropolitian,23,6.22
19.103249,72.846749,19.213249,72.956749,Windy,Jam,0,Snack,motorcycle,1.0,Metropolitian,33,16.8
13.02978,80.208812,13.13978,80.318812,Fog,Jam,0,Snack,motorcycle,0.0,Metropolitian,54,17.04
18.563934,73.915367,18.693935,74.045367,Fog,Low,0,Meal,motorcycle,1.0,Metropolitian,43,19.88
11.008638,76.984311,11.038638,77.014311,,,3,Meal,scooter,0.0,,15,4.66
23.351058,85.325731,23.361058,85.335731,Sunny,High,2,Drinks,electric_scooter,1.0,Urban,22,1.51
22.307898,73.167788,22.377898,73.237788,Cloudy,Jam,1,Buffet,motorcycle,1.0,Metropolitian,39,10.59
0.0,0.0,0.08,0.08,Stormy,Jam,1,Snack,motorcycle,1.0,Metropolitian,20,12.55
18.536718,73.830327,18.586718,73.880327,Fog,Low,2,Drinks,scooter,0.0,Metropolitian,12,7.65
0.0,0.0,0.11,0.11,Sandstorms,Jam,1,Snack,scooter,1.0,Metropolitian,28,17.26
18.994237,72.825553,19.004237,72.835553,Fog,Low,2,Buffet,scooter,0.0,Metropolitian,16,1.53
19.120083,72.907385,19.180083,72.967385,Sunny,Medium,0,Drinks,motorcycle,0.0,Metropolitian,16,9.16
26.956431,75.776649,26.976431,75.796649,Stormy,High,2,Buffet,scooter,0.0,Metropolitian,34,2.98
22.751234,75.88949,22.821234,75.95949,Sandstorms,Jam,0,Buffet,motorcycle,0.0,Metropolitian,31,10.57
22.307898,73.167788,22.437898,73.297788,Stormy,Low,1,Drinks,scooter,0.0,Urban,21,19.66
26.849596,75.800512,26.899596,75.850512,Sunny,Low,2,Meal,motorcycle,0.0,Metropolitian,13,7.44
18.994237,72.825553,19.084237,72.915553,Sandstorms,Medium,0,Snack,motorcycle,1.0,Metropolitian,48,13.75
26.956431,75.776649,27.016431,75.836649,Stormy,Low,0,Snack,motorcycle,1.0,Urban,30,8.93
23.351489,85.324253,23.421489,85.394253,Fog,Jam,0,Buffet,motorcycle,1.0,Metropolitian,42,10.55
21.15276,72.778059,21.28276,72.908059,Cloudy,Low,1,Snack,scooter,1.0,Metropolitian,20,19.73
23.351489,85.324253,23.361489,85.334253,Cloudy,Low,0,Snack,motorcycle,0.0,Metropolitian,19,1.51
19.221315,72.862381,19.261315,72.902381,Cloudy,Medium,0,Buffet,motorcycle,0.0,Metropolitian,33,6.11
26.849596,75.800512,26.899596,75.850512,Windy,Jam,2,Drinks,electric_scooter,1.0,Metropolitian,18,7.44
21.186884,72.793616,21.196884,72.803616,Sandstorms,Low,1,Meal,motorcycle,0.0,Urban,25,1.52
19.254567,72.848923,19.274567,72.868923,Cloudy,High,1,Meal,motorcycle,1.0,Metropolitian,34,3.05
21.175975,72.795503,21.285975,72.905503,Windy,Jam,0,Snack,motorcycle,1.0,Metropolitian,38,16.7
18.563934,73.915367,18.603935,73.955367,Fog,High,1,Drinks,scooter,0.0,Urban,26,6.12
22.761593,75.886362,22.871593,75.996362,Stormy,Low,2,Meal,motorcycle,0.0,Metropolitian,10,16.61
18.546947,73.900626,18.576947,73.930626,Windy,Jam,0,Snack,motorcycle,0.0,Metropolitian,41,4.59
19.091458,72.827808,19.121458,72.857808,Sunny,Jam,1,Buffet,motorcycle,1.0,Metropolitian,17,4.58
17.458998,78.500366,17.538998,78.580366,Sandstorms,Low,2,Buffet,scooter,1.0,Metropolitian,26,12.27
12.310972,76.659264,12.320972,76.669264,Stormy,Low,1,Drinks,scooter,0.0,Urban,19,1.55
22.515082,88.36783,22.605082,88.45783,Fog,Jam,0,Drinks,motorcycle,0.0,Metropolitian,38,13.6
0.0,0.0,0.01,0.01,Fog,Low,1,Snack,scooter,0.0,Urban,12,1.57
18.533811,73.899315,18.623811,73.989315,Sandstorms,Low,1,Meal,motorcycle,1.0,Urban,21,13.77
26.891191,75.802083,26.981191,75.892083,Sunny,Medium,2,Buffet,electric_scooter,0.0,Metropolitian,15,13.39
23.214294,77.435361,23.224294,77.445361,Fog,Low,0,Snack,motorcycle,0.0,Metropolitian,17,1.51
19.121999,72.908493,19.131999,72.918493,Stormy,Low,2,Drinks,scooter,0.0,Metropolitian,17,1.53
19.121999,72.908493,19.141999,72.928493,Sunny,Low,1,Buffet,scooter,0.0,,10,3.05
11.000762,76.981876,11.090762,77.071876,Stormy,Jam,1,Snack,motorcycle,0.0,Metropolitian,25,13.99
11.003008,76.97544,11.063009,77.03544,Windy,Medium,0,Drinks,motorcycle,1.0,Urban,28,9.33
11.001753,76.986241,11.071753,77.056241,Stormy,Jam,0,Buffet,motorcycle,1.0,Metropolitian,53,10.88
26.911927,75.797282,27.001927,75.887282,Stormy,Medium,0,Buffet,motorcycle,1.0,Metropolitian,25,13.39
26.90519,75.810753,26.93519,75.840753,Cloudy,Jam,1,Drinks,motorcycle,0.0,Urban,34,4.46
13.027018,80.254791,13.117018,80.344791,Cloudy,Low,2,Buffet,scooter,1.0,Urban,24,13.94
22.311358,73.164798,22.321358,73.174798,Stormy,Low,0,Drinks,motorcycle,0.0,Metropolitian,28,1.51
11.003681,76.975525,11.063681,77.035525,Stormy,Low,2,Drinks,electric_scooter,0.0,Urban,17,9.33
12.323194,76.630583,12.393194,76.700583,Windy,Low,0,Drinks,motorcycle,1.0,Metropolitian,28,10.86
22.311358,73.164798,22.401358,73.254798,Sandstorms,Low,1,Buffet,scooter,0.0,Metropolitian,24,13.61
26.902328,75.794257,26.992328,75.884257,Stormy,Low,1,Buffet,motorcycle,1.0,Metropolitian,25,13.39
11.021278,76.995017,11.081278,77.055017,Windy,Jam,1,Buffet,scooter,1.0,Metropolitian,34,9.33
21.149569,72.772697,21.209569,72.832697,Stormy,Medium,1,Snack,motorcycle,1.0,Metropolitian,26,9.11
0.0,0.0,0.02,0.02,Stormy,Low,1,Meal,motorcycle,1.0,Urban,11,3.14
19.876106,75.340775,20.006106,75.470775,Fog,Medium,1,Snack,scooter,,Metropolitian,42,19.81
13.086438,80.220672,13.126439,80.260672,Sunny,High,2,Drinks,motorcycle,1.0,Metropolitian,19,6.2
19.876106,75.340775,19.926106,75.390775,Sunny,Low,2,Meal,electric_scooter,0.0,Metropolitian,13,7.62
26.905287,75.794592,26.985287,75.874592,Fog,Low,2,Meal,scooter,0.0,Metropolitian,20,11.9
21.160522,72.771477,21.230522,72.841477,Cloudy,Medium,2,Meal,electric_scooter,1.0,Metropolitian,32,10.63
0.0,0.0,0.06,0.06,Fog,Jam,1,Drinks,scooter,1.0,Metropolitian,26,9.41
17.428294,78.404423,17.488294,78.464423,Sandstorms,Medium,1,Snack,motorcycle,1.0,Metropolitian,31,9.2
22.310329,73.169083,22.330329,73.189083,Cloudy,Low,0,Meal,motorcycle,1.0,Metropolitian,28,3.03
27.163303,78.057044,27.213303,78.107044,Cloudy,Jam,2,Drinks,scooter,1.0,Metropolitian,27,7.43
13.029198,77.570997,13.079198,77.620997,Sunny,Jam,2,Buffet,motorcycle,0.0,Urban,10,7.75
0.0,0.0,0.04,0.04,Fog,High,0,Meal,motorcycle,1.0,Metropolitian,27,6.28
12.906229,77.596791,12.966229,77.656791,,,3,Drinks,scooter,0.0,Metropolitian,24,9.3
22.75004,75.902847,22.79004,75.942847,Cloudy,Medium,1,Drinks,motorcycle,1.0,Metropolitian,12,6.04
22.74806,75.8934,22.83806,75.9834,Stormy,Jam,2,Drinks,scooter,1.0,Urban,32,13.59
25.457116,81.859682,25.487116,81.889682,Cloudy,Low,1,Buffet,scooter,1.0,Metropolitian,10,4.49
12.323194,76.630583,12.333194,76.640583,Fog,High,2,Meal,motorcycle,1.0,Metropolitian,26,1.55
12.972161,77.596014,13.022161,77.646014,Stormy,Medium,0,Meal,motorcycle,0.0,Metropolitian,34,7.75
21.175975,72.795503,21.205975,72.825503,Fog,Medium,0,Buffet,motorcycle,0.0,Metropolitian,21,4.55
11.021278,76.995017,11.081278,77.055017,Fog,Low,2,Snack,motorcycle,0.0,Metropolitian,19,9.33
23.371292,85.327872,23.391292,85.347872,Fog,Low,0,Snack,motorcycle,1.0,Urban,22,3.01
30.327968,78.046106,30.377968,78.096106,Windy,Jam,1,Drinks,scooter,0.0,Metropolitian,32,7.34
21.175975,72.795503,21.255975,72.875503,Fog,Low,1,Meal,motorcycle,1.0,Metropolitian,35,12.14
11.003008,76.97544,11.113008,77.08544,Fog,Medium,0,Meal,motorcycle,1.0,Metropolitian,38,17.1
18.546947,73.900626,18.576947,73.930626,Sandstorms,Jam,1,Buffet,scooter,1.0,Urban,15,4.59
15.556561,73.763633,15.666561,73.873633,Windy,Low,1,Buffet,scooter,1.0,Metropolitian,19,16.95
23.359194,85.325447,23.369194,85.335447,Fog,Low,2,Meal,motorcycle,1.0,Urban,17,1.51
12.978453,77.643685,13.068453,77.733685,Sunny,Jam,1,Meal,motorcycle,1.0,Metropolitian,22,13.94
22.732225,75.874765,22.792225,75.934765,Sandstorms,Medium,0,Meal,motorcycle,0.0,Urban,36,9.06
21.157729,72.768726,21.197729,72.808726,Fog,High,1,Snack,motorcycle,1.0,Metropolitian,28,6.07
18.593481,73.785901,18.663481,73.855901,Windy,Jam,1,Buffet,scooter,1.0,Metropolitian,36,10.7
0.0,0.0,0.01,0.01,Sandstorms,Low,1,Drinks,scooter,1.0,Metropolitian,25,1.57
26.914142,75.805704,27.044142,75.935704,Windy,Medium,1,Snack,motorcycle,1.0,Metropolitian,29,19.34
22.751234,75.88949,22.771234,75.90949,Fog,Low,0,Meal,motorcycle,1.0,Metropolitian,25,3.02
0.0,0.0,0.06,0.06,Cloudy,Jam,1,Snack,motorcycle,1.0,Metropolitian,25,9.41
18.53408,73.89852,18.55408,73.91852,Cloudy,Low,0,Drinks,motorcycle,1.0,Metropolitian,18,3.06
11.003008,76.97544,11.043008,77.01544,Windy,High,1,Snack,scooter,1.0,Urban,17,6.22
22.75004,75.902847,22.82004,75.972847,Sunny,Jam,2,Buffet,scooter,1.0,Metropolitian,31,10.57
11.02091,76.940432,11.13091,77.050432,Fog,Low,0,Meal,motorcycle,1.0,Metropolitian,35,17.1
23.354422,85.3329,23.364422,85.3429,Cloudy,Low,2,Meal,electric_scooter,1.0,Metropolitian,19,1.51
23.333017,85.3172,23.393017,85.3772,Windy,Jam,0,Buffet,motorcycle,2.0,Metropolitian,37,9.04
18.592718,73.773572,18.622718,73.803572,Windy,Low,0,Meal,motorcycle,1.0,Metropolitian,16,4.59
11.021278,76.995017,11.051278,77.025017,Windy,Medium,2,Drinks,electric_scooter,0.0,Metropolitian,28,4.66
12.310972,76.659264,12.350972,76.699264,Stormy,High,0,Meal,motorcycle,2.0,Metropolitian,47,6.21
26.88842,75.800689,26.91842,75.830689,Cloudy,Medium,1,Buffet,motorcycle,1.0,Metropolitian,15,4.46
23.355164,85.324097,23.435164,85.404097,Cloudy,Medium,0,Drinks,motorcycle,1.0,Metropolitian,30,12.06
23.234631,77.401663,23.324631,77.491663,Sandstorms,Jam,1,Buffet,motorcycle,2.0,Urban,36,13.57
23.355164,85.324097,23.395164,85.364097,Stormy,High,0,Buffet,motorcycle,0.0,Metropolitian,37,6.03
0.0,0.0,0.07,0.07,Fog,Low,2,Snack,electric_scooter,0.0,Metropolitian,26,10.98
17.431668,78.408321,17.521668,78.498321,Sunny,Low,1,Buffet,motorcycle,0.0,Metropolitian,34,13.81
12.972793,80.249982,13.032793,80.309982,Sandstorms,Medium,2,Drinks,scooter,1.0,Metropolitian,29,9.3
12.311072,76.654878,12.321072,76.664878,Sunny,Low,2,Snack,motorcycle,0.0,Metropolitian,21,1.55
12.98041,77.640489,13.09041,77.750489,Windy,Medium,2,Drinks,motorcycle,1.0,Urban,18,17.04
12.326356,76.619103,12.436356,76.729103,Sunny,Medium,0,Meal,motorcycle,0.0,Metropolitian,16,17.06
12.975377,77.696664,13.035377,77.756664,Windy,Jam,2,Buffet,scooter,1.0,Metropolitian,28,9.3
12.970324,77.645748,12.990324,77.665748,Sandstorms,Low,0,Snack,motorcycle,0.0,Metropolitian,28,3.1
19.176269,72.836721,19.226269,72.886721,Fog,Medium,0,Meal,motorcycle,1.0,Urban,27,7.63
12.986047,80.218114,13.066047,80.298114,Sandstorms,Jam,2,Meal,scooter,1.0,Metropolitian,43,12.4
22.753839,75.897429,22.863838,76.007429,Sunny,Low,2,Meal,scooter,1.0,,27,16.61
19.091458,72.827808,19.101458,72.837808,Sandstorms,Low,0,Drinks,motorcycle,0.0,Metropolitian,16,1.53
0.0,0.0,0.03,0.03,Sunny,Low,0,Drinks,motorcycle,1.0,Metropolitian,29,4.71
23.351058,85.325731,23.481058,85.455731,Fog,Jam,0,Snack,motorcycle,0.0,Metropolitian,47,19.59
0.0,0.0,0.09,0.09,Fog,Jam,0,Meal,motorcycle,1.0,Metropolitian,35,14.12
23.351489,85.324253,23.461489,85.434253,Stormy,Jam,2,Meal,electric_scooter,1.0,Urban,42,16.58
22.751857,75.866699,22.831857,75.946699,Sunny,Jam,0,Drinks,motorcycle,1.0,Urban,30,12.08
23.353783,85.326967,23.363783,85.336967,Sunny,High,1,Buffet,scooter,1.0,Urban,21,1.51
22.311358,73.164798,22.441358,73.294798,Windy,Jam,1,Buffet,scooter,1.0,Metropolitian,25,19.66
13.045479,80.23311,13.105479,80.29311,Fog,Low,1,Snack,scooter,,Metropolitian,15,9.3
17.430448,78.418213,17.440448,78.428213,Sandstorms,Low,2,Buffet,motorcycle,0.0,Metropolitian,16,1.53
0.0,0.0,0.11,0.11,Windy,Low,2,Buffet,motorcycle,1.0,Urban,17,17.26
30.893081,75.821495,30.953081,75.881495,Sunny,Jam,1,Buffet,motorcycle,0.0,Metropolitian,16,8.78
22.311844,73.165081,22.381844,73.235081,Windy,Medium,0,Snack,motorcycle,1.0,,40,10.59
12.337928,76.617889,12.397928,76.677889,Fog,Jam,2,Meal,scooter,0.0,Metropolitian,25,9.31
17.429585,78.392621,17.439585,78.402621,Fog,Low,0,Snack,motorcycle,0.0,,18,1.53
22.75004,75.902847,22.79004,75.942847,Sandstorms,High,2,Buffet,scooter,1.0,Metropolitian,28,6.04
15.49395,73.827423,15.58395,73.917423,Sunny,Medium,0,Meal,motorcycle,0.0,Metropolitian,28,13.87
19.221315,72.862381,19.331315,72.972381,Stormy,Jam,0,Drinks,motorcycle,0.0,Metropolitian,52,16.79
23.359194,85.325447,23.389194,85.355447,Sandstorms,Medium,0,Meal,motorcycle,1.0,Urban,21,4.52
26.483672,80.320708,26.573672,80.410708,Fog,Low,1,Snack,motorcycle,,Urban,26,13.41
0.0,0.0,0.08,0.08,Sandstorms,Medium,2,Snack,scooter,0.0,Urban,28,12.55
17.429585,78.392621,17.469585,78.432621,Windy,Medium,2,Drinks,scooter,1.0,Metropolitian,29,6.14
17.450851,78.379347,17.470851,78.399347,Windy,Low,1,Snack,motorcycle,1.0,Metropolitian,28,3.07
22.745536,75.893106,22.805536,75.953106,Sandstorms,Jam,0,Meal,motorcycle,0.0,Metropolitian,42,9.06
0.0,0.0,0.03,0.03,Windy,Medium,1,Meal,motorcycle,1.0,Urban,30,4.71
19.221315,72.862381,19.301315,72.942381,Cloudy,Medium,0,Drinks,motorcycle,1.0,Metropolitian,49,12.21
17.410371,78.437225,17.520371,78.547225,Windy,Jam,2,Buffet,electric_scooter,1.0,Metropolitian,19,16.87
0.0,0.0,0.06,0.06,Cloudy,Jam,1,Snack,motorcycle,1.0,Metropolitian,30,9.41
18.539299,73.897902,18.579299,73.937902,Sunny,Medium,0,Drinks,motorcycle,0.0,Metropolitian,23,6.12
11.022298,76.998349,11.082298,77.058349,Cloudy,Jam,2,Drinks,scooter,1.0,Metropolitian,31,9.33
0.0,0.0,0.07,0.07,Fog,Medium,0,Snack,motorcycle,1.0,Metropolitian,37,10.98
21.157729,72.768726,21.247729,72.858726,Windy,Medium,2,Meal,motorcycle,0.0,Metropolitian,16,13.66
9.970717,76.285447,10.080717,76.395447,Fog,Low,0,Buffet,motorcycle,2.0,Metropolitian,37,17.13
0.0,0.0,0.05,0.05,Cloudy,Low,1,Snack,scooter,1.0,,18,7.85
17.431668,78.408321,17.461668,78.438321,Fog,Medium,2,Drinks,scooter,1.0,Urban,11,4.6
22.310526,73.170937,22.370526,73.230937,Sunny,Jam,0,Buffet,motorcycle,3.0,Urban,54,9.07
22.760072,75.892574,22.850072,75.982574,Cloudy,Jam,2,Snack,electric_scooter,0.0,Metropolitian,43,13.59
18.51421,73.838429,18.58421,73.908429,Windy,Low,0,Drinks,motorcycle,1.0,Metropolitian,22,10.71
19.866969,75.318894,19.906969,75.358894,Windy,High,1,Snack,motorcycle,1.0,Metropolitian,33,6.1
23.374878,85.335739,23.414878,85.375739,Fog,High,0,Meal,motorcycle,1.0,Metropolitian,21,6.03
21.173343,72.792731,21.263343,72.882731,Windy,Jam,1,Buffet,motorcycle,1.0,Metropolitian,23,13.66
17.45971,78.368855,17.56971,78.478855,Stormy,Jam,2,Meal,scooter,1.0,Urban,28,16.87
26.914142,75.805704,26.994142,75.885704,Cloudy,Medium,2,Buffet,scooter,,Metropolitian,35,11.9
26.911378,75.789034,26.941378,75.819034,Windy,Jam,2,Drinks,motorcycle,1.0,Metropolitian,25,4.46
26.910262,75.783013,27.000262,75.873013,Fog,Low,1,Meal,motorcycle,0.0,Metropolitian,29,13.39
19.221315,72.862381,19.311315,72.952381,Cloudy,Medium,0,Buffet,motorcycle,2.0,Metropolitian,49,13.74
23.357804,85.325146,23.407804,85.375146,Cloudy,Medium,2,Meal,electric_scooter,1.0,Urban,16,7.54
21.149669,72.772629,21.209669,72.832629,Stormy,Low,1,Drinks,motorcycle,1.0,Metropolitian,17,9.11
17.455894,78.375467,17.505894,78.425467,Stormy,Low,1,Snack,motorcycle,1.0,Metropolitian,29,7.67
17.410371,78.437225,17.480371,78.507225,Windy,Medium,2,Meal,electric_scooter,1.0,Metropolitian,19,10.74
18.55144,73.804855,18.63144,73.884855,Stormy,Medium,0,Snack,motorcycle,1.0,Urban,31,12.24
